名詞,,サ変名詞,,形容動詞,,固有名詞,,組織名,,人名,,地名,,ナイ形容,,副詞可能,,タグ,,感動詞,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
パヨク,692,講演,303,嫌,131,平成,60,パヨク,152,桜井,348,日本,1156,問題,328,本日,274,しばき隊,418,おはよう,351,思う,362,良い,106,本当に,128,きまぐれ,112,する,5466,ない,369,どう,155,人,269,ない,1511,良い,48
支那,313,デモ,257,必要,86,パヨク,24,民団,80,笑,282,韓国,1025,間違い,22,前,159,日本第一党,405,有難う,27,行う,327,無い,86,当然,93,ぴ,36,なる,796,いい,49,もう,64,声,162,ん,491,いい,26
生放送,313,是非,256,名誉,79,ブログ,22,Android,73,安倍,256,韓,444,申し訳,12,昨日,148,本日ブログを更新しました,289,と,23,言う,286,宜しい,56,断固,65,ら,18,ある,646,おかしい,32,つい,61,国,121,ぬ,238,欲しい,16
国民,293,主張,216,違法,71,昭和,20,参議院,65,舛添,113,沖縄,265,違い,10,現在,134,オレンジ☆ラジオ,236,ま,19,分かる,148,拙い,54,更に,55,おっさん,15,いる,208,しつこい,11,どうして,54,頭,99,まい,4,ほしい,15
反日,265,差別,214,不明,65,ヘイトスピーチ,18,共産党,60,竹島,84,米国,222,仕方,5,今後,119,日本人,226,え,16,出来る,143,悪い,52,何故,54,そのもの,13,やる,203,よい,8,まだ,50,輩,91,,,づらい,5
我が国,250,合意,209,愚か,61,ツイート,13,朝日,54,添田,74,朝鮮,218,致し方,5,今,110,行動する保守運動,224,さあ,16,見る,140,多い,49,少し,47,ぱよぱよち,12,できる,164,みっともない,5,これから,48,核,90,,,にくい,5
事件,219,反対,200,明らか,60,ツイッター,13,朝日新聞,54,李,56,東京,158,限り,4,今日,101,有田芳生,185,ええ,12,考える,134,早い,37,初めて,37,いじめ,9,いう,115,よろしい,4,そう,48,男,86,,,難い,5
大統領,218,抗議,193,平和,57,ヘイト,10,大和証券,49,充,55,大阪,106,とんでも,2,多く,96,北鮮,177,えっ,10,受ける,128,正しい,33,必ず,32,かく,9,よる,68,ありがたい,3,とまれ,40,党,86,,,やすい,4
鮮人,207,選挙,189,馬鹿,55,尖閣諸島,10,自衛隊,31,要一,52,米,89,頼り,2,今回,93,朝鮮人,167,ありがとう,9,訴える,125,強い,25,一体,31,ばら,8,みる,67,っぽい,3,まず,39,件,74,,,よい,4
政府,202,逮捕,159,確か,49,明治,10,中共,30,朴,51,ジャパン,81,しょうが,1,結果,81,桜井誠,159,あ,7,出る,111,高い,24,改めて,29,あと,7,あげる,34,ひどい,3,ようやく,39,手,63,,,がたい,3
都知事,196,参加,156,自由,49,ネトウヨ,9,早稲田,27,瀬戸,44,ロシア,67,だらし,1,事実,75,PCからキャス配信中,156,おめでとう,5,戦う,107,恐ろしい,21,全く,29,ついで,7,つける,27,すい,2,すでに,34,心,62,,,,
総理,181,活動,154,公式,42,チョン,8,法務省,27,森友,42,長野,67,,,明日,75,北朝鮮,150,まぁ,5,叫ぶ,106,大きい,19,徐々に,25,もどき,7,つく,26,すごい,2,いよいよ,32,姿,50,,,,
主義,175,保守,145,異常,37,靖国,7,国連,26,野間,42,京都,65,,,絶対,71,#政治,143,南無,5,求める,104,素晴らしい,18,堂々,24,い,6,かける,24,そぐわない,2,いつも,31,次,50,,,,
ヘイトスピーチ,167,発表,140,大変,35,チベット,6,共産,25,小池,40,有田,59,,,今年,53,民進党,134,ああ,4,知る,100,難しい,17,次々,23,おかげ,6,もつ,21,つまらない,2,よく,30,先,49,,,,
自分,162,自称,138,嫌い,34,ニカ,6,靖国神社,25,金,38,台湾,51,,,先日,53,自民党,100,あっ,4,来る,100,酷い,16,是非,22,きっかけ,6,かかる,17,ぽい,2,ついに,28,南,48,,,,
議員,159,発言,134,安全,33,アイコ,5,TPP,24,香山,37,福島,42,,,過去,51,支那人,97,お疲れさま,4,持つ,98,面白い,16,共に,20,こいつ,6,くる,16,ままならない,2,なぜ,26,易,45,,,,
政治,153,批判,129,勝手,32,キリスト,4,IN,23,高橋,36,岡山,39,,,場合,49,年前,62,ごめんなさい,4,守る,96,著い,15,何卒,19,うち,5,わかる,15,むさい,2,ともかく,24,文,45,,,,
メディア,151,在日,127,詳細,32,サクライガー,4,朝鮮日報,22,弘幸,34,林堂,39,,,ほか,47,慰安婦問題,48,さよなら,4,入る,91,忙しい,15,決して,19,おじ,5,ふざける,14,めんどくさい,2,また,22,金,44,,,,
世界,149,関係,121,可能,31,ヘイトスピーチガー,4,共和党,21,信恵,33,島根,37,,,一番,43,お前,47,なるほど,4,上げる,88,広い,14,実際,19,すみれ,5,やめる,14,もろい,2,こう,20,沖,43,,,,
新聞,147,代表,114,無理,29,モン,4,朝鮮大学校,21,直輝,27,熊本,36,,,今度,43,金正恩,42,はい,4,出す,86,憎い,14,早速,19,たま,5,あがる,13,やさしい,2,もちろん,20,席,43,,,,
党員,146,謝罪,110,危険,28,ヤンキーゴーホーム,4,法務局,21,ニカ,23,名古屋,36,,,すべて,40,韓流,17,いや,3,認める,82,恥ずかしい,14,仮に,17,ぷ,5,いく,13,あらい,1,もはや,19,ー,42,,,,
