Words,TF,,Words,TF,,Words,TF
日本,1156,,桜井誠,159,,謝罪,110
韓国,1025,,前,159,,先生,110
パヨク,692,,逮捕,159,,支持,109
韓,444,,東京,158,,行為,108
しばき隊,418,,PCからキャス配信中,156,,不逞,108
日本第一党,405,,参加,156,,お願い,107
思う,362,,活動,154,,意味,107
桜井,348,,政治,153,,極左,107
問題,328,,パヨク,152,,候補,107
行う,327,,メディア,151,,戦う,107
支那,313,,北朝鮮,150,,叫ぶ,106
生放送,313,,世界,149,,大阪,106
講演,303,,昨日,148,,良い,106
国民,293,,分かる,148,,予定,105
本日ブログを更新しました,289,,新聞,147,,求める,104
言う,286,,党員,146,,報道,104
笑,282,,保守,145,,今日,101
本日,274,,#政治,143,,自民党,100
人,269,,トランプ,143,,知る,100
沖縄,265,,出来る,143,,来る,100
反日,265,,皆さん,142,,頭,99
デモ,257,,残党,141,,ファースト,98
安倍,256,,見る,140,,持つ,98
是非,256,,発表,140,,一味,97
我が国,250,,自称,138,,支那人,97
オレンジ☆ラジオ,236,,犯罪,136,,守る,96
日本人,226,,現在,134,,多く,96
行動する保守運動,224,,考える,134,,外国,95
米国,222,,発言,134,,今回,93
事件,219,,民進党,134,,当然,93
大統領,218,,社会,133,,入る,91
朝鮮,218,,学校,132,,輩,91
主張,216,,届け,132,,核,90
差別,214,,嫌,131,,運動,89
合意,209,,批判,129,,精神,89
鮮人,207,,記事,128,,米,89
政府,202,,受ける,128,,上げる,88
反対,200,,本当に,128,,売春,88
都知事,196,,在日,127,,報告,88
抗議,193,,訴える,125,,　-　,87
選挙,189,,皆様,124,,街宣,87
有田芳生,185,,関係,121,,出す,86
総理,181,,国,121,,状況,86
北鮮,177,,国家,119,,男,86
主義,175,,今後,119,,党,86
ヘイトスピーチ,167,,ヘイト,115,,必要,86
朝鮮人,167,,代表,114,,無い,86
自分,162,,舛添,113,,被害,85
声,162,,出る,111,,竹島,84
議員,159,,今,110,,ニダ,83
